generation,ct_diameter_mm_mean,ct_diameter_mm_std,ct_diameter_mm_count,ct_length_mm_mean,ct_length_mm_std,manual_diameter_mm_mean,manual_diameter_mm_std,manual_length_mm_mean,manual_length_mm_std
1,1.3090000000000002,0.15787336697492713,3,2.207333333333333,0.7993906012290446,1.3666666666666665,0.05773502691896242,,
2,1.1888333333333334,0.21022789221857946,6,3.8810000000000002,1.5332411421560537,1.2166666666666666,0.17511900715418263,4.391666666666667,1.09563527994797
3,1.0408333333333333,0.24882919783853683,12,2.17325,0.8228689418458723,0.9708333333333333,0.3292265960021327,1.5250000000000001,0.7136653149888832
4,0.7944166666666667,0.3030880079774027,24,1.2826521739130434,0.589629591638656,0.6875,0.3517811819867573,0.5416666666666666,0.45556144688072314
5,0.5406041666666667,0.2685202745689978,48,0.69225,0.4094799949680934,0.5072916666666667,0.27463507379587415,0.5510416666666667,0.42955810833892577
6,0.3746421052631579,0.2255195852130578,95,0.5088571428571429,0.2604410588075197,0.3573684210526316,0.2291251192443923,0.4531578947368421,0.33164728494673684
