Source table,Breathing mode,Mean flow rate (cm3 s-1),Breathing cycle period (s),Tidal volume (cm3),Particle diameter (µm),Region (normalized),Region (as in table),Deposition fraction
Table 4,Nasal,500,4,1000,0.07,Total,DE,0.35
Table 4,Nasal,125,16,1000,0.1,Total,DE,0.43
Table 4,Nasal,250,16,2000,0.1,Total,DE,0.51
Table 4,Nasal,250,12,1500,0.1,Total,DE,0.43
Table 4,Nasal,500,4,1000,0.1,Total,DE,0.26
Table 4,Nasal,125,16,1000,0.2,Total,DE,0.33
Table 4,Nasal,250,16,2000,0.2,Total,DE,0.34
Table 4,Nasal,250,12,1500,0.2,Total,DE,0.28
Table 4,Nasal,500,4,1000,0.2,Total,DE,0.15
Table 4,Nasal,125,16,1000,0.4,Total,DE,0.27
Table 4,Nasal,250,16,2000,0.4,Total,DE,0.3
Table 4,Nasal,250,12,1500,0.4,Total,DE,0.25
Table 4,Nasal,500,4,1000,0.4,Total,DE,0.17
Table 4,Nasal,125,16,1000,0.7,Total,DE,0.34
Table 4,Nasal,250,16,2000,0.7,Total,DE,0.39
Table 4,Nasal,250,12,1500,0.7,Total,DE,0.32
Table 4,Nasal,500,4,1000,0.7,Total,DE,0.25
Table 4,Nasal,125,16,1000,1.0,Total,DE,0.46
Table 4,Nasal,250,16,2000,1.0,Total,DE,0.54
Table 4,Nasal,250,12,1500,1.0,Total,DE,0.44
Table 4,Nasal,500,4,1000,1.0,Total,DE,0.37
Table 4,Nasal,125,16,1000,2.0,Total,DE,0.75
Table 4,Nasal,250,16,2000,2.0,Total,DE,0.85
Table 4,Nasal,250,12,1500,2.0,Total,DE,0.81
Table 4,Nasal,500,4,1000,2.0,Total,DE,0.77
Table 4,Nasal,125,16,1000,3.0,Total,DE,0.87
Table 4,Nasal,250,16,2000,3.0,Total,DE,0.94
Table 4,Nasal,250,12,1500,3.0,Total,DE,0.93
Table 4,Nasal,500,4,1000,3.0,Total,DE,0.93
Table 4,Nasal,125,16,1000,4.0,Total,DE,0.92
Table 4,Nasal,250,16,2000,4.0,Total,DE,0.98
Table 4,Nasal,250,12,1500,4.0,Total,DE,0.97
Table 4,Nasal,500,4,1000,4.0,Total,DE,0.98
Table 4,Nasal,125,16,1000,5.0,Total,DE,0.96
Table 4,Nasal,250,16,2000,5.0,Total,DE,0.99
Table 4,Nasal,250,12,1500,5.0,Total,DE,0.99
Table 4,Nasal,500,4,1000,5.0,Total,DE,0.99
Table 4,Nasal,125,16,1000,6.0,Total,DE,0.98
Table 4,Nasal,250,16,2000,6.0,Total,DE,1.0
Table 4,Nasal,250,12,1500,6.0,Total,DE,0.99
Table 4,Nasal,500,4,1000,6.0,Total,DE,1.0
Table 4,Nasal,125,16,1000,7.0,Total,DE,0.99
Table 4,Nasal,250,16,2000,7.0,Total,DE,1.0
Table 4,Nasal,250,12,1500,7.0,Total,DE,1.0
Table 4,Nasal,500,4,1000,7.0,Total,DE,1.0
Table 4,Nasal,125,16,1000,8.0,Total,DE,0.99
Table 4,Nasal,250,16,2000,8.0,Total,DE,1.0
Table 4,Nasal,250,12,1500,8.0,Total,DE,1.0
Table 4,Nasal,500,4,1000,8.0,Total,DE,1.0
